Timestamp,How many Collectors do you run in your organization?,Where do you deploy your Collectors?,What deployment scenarios do you use your Collectors in?,How do you deploy the OTel Collector on Kubernetes??,Do you build your own Collector distribution?,Do you use the OTel Collector Builder to build your own OTel Collector distribution?,How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,How do you monitor your Collector?,Which of the following Exporters do you use?,Which of the following receivers from do you use?,Which of the following processors do you use?,Which of the following connectors do you use?,Which of the following extensions do you use?,What kind of improvement would you most like to see for the Collector?
2-8-2024 2:13:19,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"fileexporter, lokiexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter","awscloudwatchmetricsreceiver, awscloudwatchreceiver, awscontainerinsightreceiver, datadogreceiver, filelogreceiver, k8sclusterreceiver, k8seventsreceiver, otlpreceiver, prometheusreceiver","batchprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricsgenerationprocessor, probabilisticsamplerprocessor, spanmetricsprocessor, tailsamplingprocessor",routingconnector,"basicauthextension, bearertokenauthextension, healthcheckextension, observer, zpages",Stability
2-8-2024 13:39:52,Between 5 and 10,"Virtual Machine (VM), ECS",On every host (i.e k8s daemonset),I don't deploy the OTel Collector on Kubernetes,Yes,Yes,Meh,I don't,otlpexporter,"hostmetricsreceiver, zipkinreceiver",attributesprocessor,n/a,n/a,Support for more receivers or exporters
2-9-2024 0:38:56,1,Kubernetes,In a stateful scenario (ie k8s statefulset),OTel Collector Helm Chart,No,No,I don't use it,I don't,"googlecloudexporter, googlemanagedprometheusexporter, loggingexporter, prometheusexporter","googlecloudspannerreceiver, rabbitmqreceiver",k8sattributesprocessor,n/a,n/a,Collector observability
2-9-2024 6:27:15,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",OTel Operator,No,No,I don't use it,Logs,"datadogexporter, debugexporter, googlecloudexporter, googlecloudpubsubexporter","filereceiver, otlpreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, datadogprocessor, filterprocessor, k8sattributesprocessor, logstransformprocessor, resourceprocessor, routingprocessor, transformprocessor","datadogconnector, routingconnector",healthcheckextension,Collector observability
2-9-2024 14:39:52,More than 10,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","alertmanagerexporter, datadogexporter, elasticsearchexporter, otlpexporter, otlphttpexporter, prometheusexporter, sentryexporter, splunkhecexporter","apachereceiver, awscloudwatchreceiver, azureblobreceiver, azureeventhubreceiver, datadogreceiver, elasticsearchreceiver, filelogreceiver, fluentforwardreceiver, journaldreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, lokireceiver, otlpreceiver, prometheusreceiver, splunkhecreceiver","attributesprocessor, datadogprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, metricsgenerationprocessor, metricstransformprocessor, probabilisticsamplerprocessor, spanmetricsprocessor, spanprocessor",datadogconnector,"oidcauthextension, sigv4authextension",Collector observability
2-9-2024 15:12:54,More than 10,"Virtual Machine (VM), Bare Metal",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"Logs, Collector metrics","fileexporter, kafkaexporter, lokiexporter, prometheusremotewriteexporter","dockerstatsreceiver, filelogreceiver, fluentforwardreceiver, kafkareceiver, otlpreceiver, prometheusreceiver, snmpreceiver","attributesprocessor, batchprocessor, filterprocessor, logstransformprocessor, transformprocessor",none,filestorage,Configuration management and resolution
2-9-2024 21:45:59,1,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,Meh,I don't,otlpexporter,"filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, prometheusreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor",None,None,Configuration management and resolution
2-10-2024 3:03:23,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Collector metrics,"dynatraceexporter, kafkaexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter","kafkareceiver, otlpreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricsgenerationprocessor, servicegraphprocessor, spanmetricsprocessor, tailsamplingprocessor","exceptionsconnector, spanmetricsconnector",storage,Collector observability
2-10-2024 7:44:14,More than 10,Kubernetes,On every host (i.e k8s daemonset),My own manifests,No,No,I don't use it,"Logs, Collector metrics","coralogixexporter, otlpexporter, otlphttpexporter, prometheusexporter","filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, k8sobjectsreceiver, kubeletstatsreceiver, mysqlreceiver, postgresqlreceiver, redisreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor",spanmetricsconnector,"filestorage, healthcheckextension, storage",Collector observability
2-10-2024 8:29:22,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,No,I don't use it,Collector metrics,"fileexporter, googlecloudexporter, googlemanagedprometheusexporter","filelogreceiver, hostmetricsreceiver, iisreceiver, jmxreceiver, mongodbreceiver, mysqlreceiver, nginxreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, sqlserverreceiver, windowseventlogreceiver","attributesprocessor, batchprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, resourcedetectionprocessor, spanmetricsprocessor, transformprocessor",None,filestorage,Stability
2-10-2024 16:13:03,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","lokiexporter, prometheusremotewriteexporter","filelogreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, servicegraphprocessor, spanmetricsprocessor","servicegraphconnector, spanmetricsconnector","basicauthextension, httpforwarder",Configuration management and resolution
2-11-2024 2:32:26,None,Kubernetes,In a stateful scenario (ie k8s statefulset),My own manifests,No,No,I don't use it,"Logs, Collector metrics",prometheusremotewriteexporter,prometheusreceiver,"deltatorateprocessor, transformprocessor",routingconnector,"bearertokenauthextension, headerssetterextension",Stability
2-11-2024 7:20:58,Between 2 and 5,Kubernetes,On every host (i.e k8s daemonset),Other Helm Chart (e.g. vendor's),No,No,I don't use it,Logs,"datadogexporter, otlpexporter, otlphttpexporter","otlpreceiver, rabbitmqreceiver","attributesprocessor, datadogprocessor, routingprocessor, spanprocessor",datadogconnector,"bearertokenauthextension, oidcauthextension",Configuration management and resolution
2-11-2024 10:33:25,More than 10,Virtual Machine (VM),"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,I don't,"awskinesisexporter, otlpexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor",None,healthcheckextension,Stability
2-12-2024 6:25:34,Between 5 and 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"kafkaexporter, otlphttpexporter, prometheusexporter","filereceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, resourceprocessor",countconnector,"filestorage, storage",Collector observability
2-12-2024 10:36:37,1,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,I don't,otlpexporter,"k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, otlpreceiver","batchprocessor, filterprocessor, memorylimiterprocessor, resourceprocessor",None,None,Collector observability
2-14-2024 12:54:46,More than 10,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),My own manifests,Yes,Yes,It's too hard to use!,"Logs, Collector metrics","alertmanagerexporter, debugexporter, fileexporter, kafkaexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter, zipkinexporter","filelogreceiver, filereceiver, filestatsreceiver, hostmetricsreceiver, httpcheckreceiver, kafkareceiver, lokireceiver, namedpipereceiver, otlpjsonfilereceiver, otlpreceiver, postgresqlreceiver, syslogreceiver, webhookeventreceiver, windowseventlogreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, spanprocessor, tailsamplingprocessor, transformprocessor",spanmetricsconnector,"basicauthextension, encoding, httpforwarder, storage",Stability
2-15-2024 9:29:51,More than 10,Kubernetes,"On every host (i.e k8s daemonset), In a stateful scenario (ie k8s statefulset)",Other Helm Chart (e.g. vendor's),Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","otlpexporter, otlphttpexporter, sumologicexporter","filelogreceiver, fluentforwardreceiver, jmxreceiver, journaldreceiver, otlpreceiver, prometheusreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, routingprocessor, sumologicprocessor, transformprocessor",routingconnector,"filestorage, healthcheckextension, pprofextension",Stability
2-15-2024 10:15:28,More than 10,"Kubernetes, Bare Metal","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Collector metrics,"clickhouseexporter, debugexporter, kafkaexporter, loggingexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter, qryn","apachesparkreceiver, filelogreceiver, jaegerreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, nginxreceiver, otlpreceiver, prometheusreceiver, redisreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbytraceprocessor, k8sattributesprocessor, metricsgenerationprocessor, routingprocessor, servicegraphprocessor, spanprocessor","servicegraphconnector, spanmetricsconnector","basicauthextension, headerssetterextension, healthcheckextension, pprofextension, zpages",Collector observability
2-16-2024 11:13:43,I don't know,"Kubernetes, Virtual Machine (VM), Bare Metal",next to my application (i.e. k8s sidecar),OTel Collector Helm Chart,Yes,No,I don't use it,"Throughput, but collector metrics would be a good idea. I actually want tracing enabled in the collector to sample traces of calls through a collector. ","fileexporter, otlpexporter, signalfxexporter, splunkhecexporter","filelogreceiver, hostmetricsreceiver, httpcheckreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, signalfxreceiver, webhookeventreceiver","attributesprocessor, memorylimiterprocessor, redactionprocessor, resourceprocessor, spanmetricsprocessor, spanprocessor",spanmetricsconnector,"filestorage, headerssetterextension, httpforwarder",Collector observability
2-18-2024 4:42:05,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,Meh,"Logs, Collector metrics","otlphttpexporter, pulsarexporter, sentryexporter, signalfxexporter, splunkhecexporter, syslogexporter, zipkinexporter","fluentforwardreceiver, osqueryreceiver, postgresqlreceiver, prometheusreceiver, pulsarreceiver, signalfxreceiver, splunkenterprisereceiver, splunkhecreceiver, statsdreceiver","batchprocessor, filterprocessor, logstransformprocessor, metricsgenerationprocessor, servicegraphprocessor, transformprocessor","exceptionsconnector, spanmetricsconnector","encoding, jaegerremotesampling, observer",Configuration management and resolution
2-20-2024 1:58:01,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","googlecloudexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter, Tempo","awscloudwatchmetricsreceiver, dockerstatsreceiver, filelogreceiver, hostmetricsreceiver, jaegerreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, mysqlreceiver, otlpreceiver, prometheusreceiver, rabbitmqreceiver, receivercreator, signalfxreceiver, statsdreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourcedetectionprocessor, resourceprocessor, routingprocessor, spanprocessor, transformprocessor",routingconnector,"filestorage, healthcheckextension, observer, storage, zpages",Configuration management and resolution
2-20-2024 23:29:47,Between 2 and 5,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,I don't,"azuremonitorexporter, otlpexporter",azuremonitorreceiver,batchprocessor,spanmetricsconnector,encoding,Stability
2-24-2024 9:14:23,Between 2 and 5,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,OTel Collector Helm Chart,No,No,It's easy to use. I love it!,I don't,"azuremonitorexporter, fileexporter, otlpexporter","filelogreceiver, iisreceiver, otlpreceiver","batchprocessor, filterprocessor, logstransformprocessor, memorylimiterprocessor, spanmetricsprocessor, spanprocessor, transformprocessor",exceptionsconnector,storage,Stability
2-28-2024 7:41:21,Between 2 and 5,"Kubernetes, Virtual Machine (VM), Bare Metal","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,No,No,It's too hard to use!,I don't,"debugexporter, otlpexporter, uptrace, elastic apm, signoz, aspecto, honeycomb ",otlpreceiver,batchprocessor,none,"basicauthextension, bearertokenauthextension, healthcheckextension",Configuration management and resolution
2-29-2024 14:05:56,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","clickhouseexporter, debugexporter, kafkaexporter, loadbalancingexporter, lokiexporter, otlpexporter, otlphttpexporter, prometheusremotewriteexporter","filelogreceiver, jaegerreceiver, k8sobjectsreceiver, lokireceiver, otlpreceiver, prometheusreceiver, syslogreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourcedetectionprocessor, transformprocessor","countconnector, routingconnector, forward","healthcheckextension, pprofextension, storage, zpages",Stability
2-29-2024 14:10:47,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Collector metrics,"coralogixexporter, debugexporter, otlpexporter, prometheusremotewriteexporter, ","filelogreceiver, httpcheckreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver","batchprocessor, filterprocessor, transformprocessor",none,"basicauthextension, bearertokenauthextension","Internally it is a big blocker to sell the otel-collector as a solution because most of the components are still marked as dev/alpha/beta. We have to point to our existing splunk published otel collector to be able to convince people that this is safe to use for production workloads. We would really like to see many of the components in the contrib repo be promoted to stable, or at least have roadmaps for their promotions to stable."
3-1-2024 10:56:51,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Collector metrics,"debugexporter, influxdbexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","hostmetricsreceiver, jaegerreceiver, opencensusreceiver, otlpjsonfilereceiver, otlpreceiver","attributesprocessor, batchprocessor, groupbytraceprocessor, transformprocessor",failoverconnector,"basicauthextension, healthcheckextension",Configuration management and resolution
